Country,Region,Happiness_Score,Economy,Family,Health,Freedom,Generosity,Trust
Vietnam,Southeastern Asia,5.07399988,0.78854758,1.27749133,0.65216899,0.57105559,0.23496805,0.08763324
Nigeria,Sub-Saharan Africa,5.07399988,0.78375626,1.21577048,0.05691573,0.39495257,0.2309472,0.02612157
Tajikistan,Central and Eastern Europe,5.04099989,0.52471364,1.27146327,0.52923512,0.47156671,0.24899764,0.14637715
Bhutan,Southern Asia,5.01100016,0.88541639,1.34012651,0.49587929,0.50153768,0.47405455,0.17338039
Kyrgyzstan,Central and Eastern Europe,5.00400019,0.59622008,1.39423859,0.5534578,0.45494339,0.42858037,0.03943918
Nepal,Southern Asia,4.96199989,0.47982019,1.17928326,0.50413078,0.44030595,0.39409617,0.07297555
Mongolia,Eastern Asia,4.95499992,1.02723587,1.49301124,0.55778348,0.39414397,0.33846423,0.03290229
South Africa,Sub-Saharan Africa,4.829,1.05469871,1.38478863,0.18708007,0.47924674,0.13936238,0.0725095
Tunisia,Middle East and Northern Africa,4.80499983,1.00726581,0.86835146,0.61321205,0.28968069,0.04969336,0.08672315
Palestinian Territories,Middle East and Northern Africa,4.7750001,0.71624923,1.15564716,0.56566697,0.25471106,0.11417317,0.0892826
Egypt,Middle East and Northern Africa,4.73500013,0.98970181,0.99747139,0.52018726,0.28211015,0.12863144,0.11438137
Bulgaria,Central and Eastern Europe,4.71400023,1.16145909,1.43437946,0.70821768,0.28923172,0.11317769,0.01105153
Sierra Leone,Sub-Saharan Africa,4.70900011,0.36842093,0.98413604,0.00556475,0.31869769,0.2930409,0.07109518
Cameroon,Sub-Saharan Africa,4.69500017,0.56430537,0.94601822,0.13289212,0.43038875,0.23629846,0.05130663
Iran,Middle East and Northern Africa,4.69199991,1.15687311,0.71155125,0.63933319,0.24932261,0.38724291,0.04876107
Albania,Central and Eastern Europe,4.64400005,0.99619275,0.80368525,0.73115975,0.38149863,0.20131294,0.03986422
Bangladesh,Southern Asia,4.6079998,0.58668298,0.73513174,0.53324103,0.47835666,0.17225535,0.12371786
Namibia,Sub-Saharan Africa,4.57399988,0.96443433,1.09847081,0.33861181,0.52030355,0.07713374,0.09314697
Kenya,Sub-Saharan Africa,4.55299997,0.56047946,1.06795073,0.30998835,0.45276377,0.44486031,0.06464132
Mozambique,Sub-Saharan Africa,4.55000019,0.23430565,0.87070101,0.10665444,0.48079109,0.3222281,0.17943639
Myanmar,Southeastern Asia,4.54500008,0.36711055,1.12323594,0.39752257,0.51449203,0.83807516,0.1888162
Senegal,Sub-Saharan Africa,4.53499985,0.47930902,1.17969191,0.40936285,0.37792227,0.18346889,0.11546045
